HUMAN_ID,gender,year,date,age,region,uniform_top,uniform_bottom,002. height,032. neck_circumference ,041. chest_circumference ,045. waist_circumference ,048. hip_circumference ,084. sittingheight ,122. foot ,125. weight 
20_M_1899,남,2020,1204,26,서울/경기/강원,,85M,1601,394,965,828,965,880,234,68.2
20_M_1900,남,2020,1204,25,서울/경기/강원,,85M,1810,375,1053,796,997,952,271,78.3
20_M_1901,남,2020,1204,40,서울/경기/강원,,100M,1761,435,1140,1033,1047,923,257,94.9
20_M_1902,남,2020,1204,27,서울/경기/강원,,95M,1806,395,1030,887,1008,946,273,84.6
20_M_1903,남,2020,1204,27,서울/경기/강원,,75M,1674,350,987,708,868,890,241,61.6
20_M_1904,남,2020,1204,27,서울/경기/강원,,90M,1785,399,1121,862,1017,940,252,83.5
20_M_1907,남,2020,1205,28,서울/경기/강원,,90M,1756,351,1015,862,985,905,267,78.7
20_M_1908,남,2020,1205,33,서울/경기/강원,,95M,1853,378,1046,850,1030,963,275,85.8
20_M_1909,남,2020,1205,30,서울/경기/강원,,85M,1795,385,1065,821,1000,980,248,81.1
20_M_1910,남,2020,1205,31,서울/경기/강원,,105M,1820,410,1076,960,1120,979,269,97.6
20_M_1912,남,2020,1205,26,서울/경기/강원,,85M,1820,379,1008,787,968,965,268,75.6
20_M_1913,남,2020,1205,31,서울/경기/강원,,85M,1804,391,1100,840,1064,970,269,91.9
20_M_1915,남,2020,1205,27,서울/경기/강원,,80M,1737,365,1000,814,937,955,252,70.9
20_M_1916,남,2020,1205,27,서울/경기/강원,,85M,1759,367,1003,840,999,963,265,77.7
20_M_1917,남,2020,1205,33,서울/경기/강원,,85M,1764,367,998,816,919,937,261,67.6
20_M_1920,남,2020,1205,31,서울/경기/강원,,80M,1733,360,985,777,895,920,270,65.6
20_M_1921,남,2020,1205,43,서울/경기/강원,,95M,1818,377,1041,857,1004,981,280,82.3
20_M_1922,남,2020,1205,24,서울/경기/강원,,90M,1713,381,963,845,983,923,242,75.7
20_M_1923,남,2020,1205,24,서울/경기/강원,,80M,1665,362,950,785,907,900,230,63.8
20_M_1924,남,2020,1205,24,서울/경기/강원,,85M,1674,377,990,835,946,933,242,68.7
20_M_1925,남,2020,1205,25,서울/경기/강원,,85M,1733,384,1025,792,927,918,250,68.8
20_M_1926,남,2020,1205,25,서울/경기/강원,,80M,1772,399,1124,770,940,936,243,76.4
20_M_1927,남,2020,1205,24,서울/경기/강원,,90M,1761,362,1052,865,995,956,250,82.2
20_M_1929,남,2020,1205,22,서울/경기/강원,,80M,1682,352,926,751,914,909,243,61.8
20_M_1930,남,2020,1205,32,서울/경기/강원,,90M,1759,388,1055,880,1005,932,252,78.5
20_M_1931,남,2020,1206,28,서울/경기/강원,,85M,1831,390,1050,807,1020,983,272,82.7
20_M_1932,남,2020,1206,25,서울/경기/강원,,80M,1740,359,984,760,917,913,256,65.5
20_M_1934,남,2020,1206,31,서울/경기/강원,,105M,1833,403,1061,956,1131,955,256,99
20_M_1935,남,2020,1206,40,서울/경기/강원,,90M,1695,388,1030,888,977,926,246,74.2
20_M_1936,남,2020,1206,27,서울/경기/강원,,90M,1650,390,1013,886,991,881,253,73
20_M_1937,남,2020,1206,28,서울/경기/강원,,95M,1856,404,1070,894,1073,1009,258,87.4
20_M_1938,남,2020,1206,20,서울/경기/강원,,95M,1569,406,1000,928,1049,854,232,74.2
20_M_1939,남,2020,1206,24,서울/경기/강원,,75M,1677,343,930,732,890,927,240,59.6
20_M_1940,남,2020,1206,24,서울/경기/강원,,95M,1700,336,918,728,925,940,233,61
20_M_1941,남,2020,1206,34,서울/경기/강원,,90M,1738,391,1086,877,955,932,256,77.7
20_M_1942,남,2020,1206,34,서울/경기/강원,,85M,1771,371,993,795,967,954,261,71.1
20_M_1945,남,2020,1206,31,서울/경기/강원,,85M,1728,380,992,822,970,926,260,72.7
20_M_1946,남,2020,1206,25,서울/경기/강원,,100M,1780,383,1100,943,1050,945,251,94.6
20_M_1947,남,2020,1206,29,서울/경기/강원,,90M,1748,366,1007,880,960,896,261,72.5
20_M_1948,남,2020,1206,25,서울/경기/강원,,90M,1751,371,1036,870,1036,944,253,78.9
20_M_1949,남,2020,1206,22,서울/경기/강원,,115M,1765,419,1125,1044,1172,927,268,106.3
20_M_1950,남,2020,1206,23,서울/경기/강원,,80M,1758,346,965,720,918,941,246,66
20_M_1951,남,2020,1206,30,서울/경기/강원,,90M,1772,367,955,845,987,941,272,73.4
20_M_1952,남,2020,1206,23,서울/경기/강원,,95M,1827,395,1072,908,1057,967,268,90.1
20_M_1953,남,2020,1206,23,서울/경기/강원,,85M,1788,390,1010,790,1001,959,270,81.5
20_M_1954,남,2020,1206,33,서울/경기/강원,,115M,1790,389,1102,1068,1140,960,255,102.6
20_M_1955,남,2020,1206,31,서울/경기/강원,,95M,1735,396,1072,960,1080,946,245,89
